station,date,qizm_sum,fx_dynamic,fx_fixed_20c,fx_primary_integrated_ambient,fx_secondary_integrated_ambient,fx_return_sink,t_sup_prim_c,t_amb_c
L22,2025-01-11,2813.999999999396,0.21937446980766806,0.17478633561853377,0.1737049975868692,0.1261806065210559,0.10846435687466012,82.1067093105885,4.160127931769658
L22,2025-01-12,2872.0000000002983,0.22534752822153245,0.17806018606688812,0.17811784882870557,0.12904679129004512,0.11270355725243605,83.53006963788297,3.129916434540446
L22,2025-01-13,2920.0000000018917,0.2304670086658975,0.18144917501763994,0.18151421133828063,0.13043846407678258,0.11719841826490192,85.02410958903499,2.443821917807955
L22,2025-01-14,3408.0000000003565,0.23321397942757335,0.18223514179491385,0.18483062242598639,0.1342303333338916,0.11632439143916386,85.36356807511474,1.7182159624407751
L22,2025-01-15,3260.0000000002183,0.24032547047412497,0.18641177850101584,0.19146043956900496,0.1399690158746575,0.11838894257020215,87.18384049079486,0.5698036809813821
L22,2025-01-16,3224.0000000010696,0.2304869113702714,0.18033603627816852,0.18367759070131032,0.13434966593191053,0.112450680600185,84.52937965260274,2.066476426799117
L22,2025-01-17,3130.000000000109,0.23326816261298083,0.1849164571050795,0.18304252206465324,0.13046941959490196,0.12038786779125785,86.52962300319335,2.6100830670926483
L22,2025-01-18,3250.0,0.23410838570087444,0.18218189118633596,0.18609224709574287,0.13523232421000514,0.11562466983490952,85.31675076923156,1.385784615384613
L22,2025-01-19,3448.0000000012296,0.23742183516058074,0.1859536204116617,0.18924691991885256,0.1377992825200586,0.11643588514058639,86.9769141531315,1.4643967517400311
L22,2025-01-20,3461.9999999995343,0.23786868292300498,0.18718249354865216,0.18940963030093852,0.13803674611261893,0.11713288971108406,87.51562102830732,1.717689196995879
L22,2025-01-21,3036.000000000058,0.2253399879974628,0.18001176273598551,0.17785998559700908,0.128060341223826,0.11325688055082331,84.36978919630975,3.786719367589355
L22,2025-01-22,2809.9999999994907,0.2060636378732087,0.16905305022321157,0.16207977504224955,0.11638543651235016,0.10314696161719596,79.67047686832758,6.9351316725976355
L22,2025-01-23,2783.9999999996508,0.1967359411082875,0.16462877806363083,0.15398653685249017,0.1094073322152212,0.09946243679282557,77.83301724138259,8.698721264368267
L22,2025-01-24,2622.0000000002983,0.18965737419034404,0.16296767972126125,0.14661683374133694,0.10268711161774487,0.09916137071757407,77.08987032799651,10.647719298245958
L22,2025-01-25,2569.9999999987995,0.18899852999062253,0.1604365568175534,0.147932734579957,0.10537273135017895,0.0948521191511173,76.06199221790631,10.023315175097324
L22,2025-01-26,2359.999999998763,0.19042584617333067,0.15970972108623982,0.14897819388399466,0.10617325846343433,0.09590858473761749,75.78801694915376,9.26023728813635
L22,2025-01-27,1621.9999999993888,0.19499874414550342,0.16397273214116362,0.15150702274221384,0.10533271787567496,0.10095673536350472,77.61020961774997,9.063008631319748
L22,2025-01-28,1479.999999998654,0.18801661047945847,0.16182148290593112,0.14593697503744038,0.10049977766643087,0.09691177773042298,76.64372972972527,10.832216216215581
L22,2025-01-29,2256.000000000313,0.17480296625727754,0.15367863328265155,0.13548443857217682,0.09512994662421924,0.08958945979613007,73.25645390070936,12.672464539005727
L22,2025-01-30,1355.9999999997672,0.18829271485787114,0.16146043033707813,0.14622395538132438,0.10048643412624625,0.09693143728420947,76.48427728613811,10.606843657817082
L22,2025-01-31,2012.0000000015352,0.19416189082000596,0.1639085430716151,0.1518621029754436,0.10664027495275209,0.09817263525401558,77.55332007951279,9.368091451292877
L22,2025-02-01,2223.9999999992506,0.19347947503306367,0.1601261123369971,0.15377851514743662,0.11116312094051296,0.0923917708861609,75.9398201438867,8.345287769783445
L22,2025-02-02,2200.0000000007276,0.2008934168257368,0.16259833129696766,0.1594001014450398,0.11573807952375924,0.09726200587731419,77.03569090909592,6.547145454543038
L22,2025-02-03,3089.999999999236,0.21446659163937212,0.1760079212819221,0.16990050826370143,0.12297390062391536,0.10542136533239821,82.64639482200782,6.315339805825711
L22,2025-02-04,2808.000000000902,0.21974918993560358,0.176055545493124,0.17312486938142815,0.12455121625206857,0.11064419914845752,82.66512820512595,4.440299145298623
L22,2025-02-05,2841.9999999996435,0.22343150379866844,0.17757525205575628,0.17579931300655216,0.12612712377323487,0.1133586043489187,83.3214074595346,3.6432934553124166
L22,2025-02-06,2877.9999999997017,0.2045256816414573,0.1669850088146907,0.1602508238419628,0.11458426795393163,0.1036547770205557,78.86986487395872,6.7924549559836205
L22,2025-02-07,2817.9999999993015,0.21418843794597522,0.17341451770734356,0.16841444774985428,0.12061182708667284,0.10806856600359004,81.53098651525738,5.527168204400307
L22,2025-02-08,2974.0000000010696,0.2212253570750055,0.17365805007756044,0.17691778849825288,0.1301881739994707,0.1057969466015908,81.66785474108845,3.099650302621601
L22,2025-02-09,3246.000000001004,0.2332248913589305,0.1808439619815684,0.18584810110315123,0.13580311010245646,0.11418495660036776,84.79185459026861,1.2303758471953148
L22,2025-02-10,3289.999999999054,0.23343520241116006,0.1798394151080483,0.186307246020985,0.13689189058894746,0.11371456249604837,84.36179939210008,0.8014589665654426
L22,2025-02-11,3509.999999999309,0.23558253508570196,0.18269437820673465,0.1885708488591444,0.13931340625884991,0.11370184122845127,85.59376638176754,0.9955555555557686
L22,2025-02-12,3024.000000000342,0.22636725003969016,0.1790407160992234,0.1791571068485135,0.1297944888292,0.11297249009272389,84.01572898295025,3.045919312168785
L22,2025-02-13,2658.0000000003565,0.1975944676246327,0.16141059836278604,0.15530250676845303,0.11156236243476471,0.0985361887668328,76.47527464258908,7.324725357411332
L22,2025-02-14,2386.000000000422,0.1818552965185198,0.15375968568355727,0.14207920280440137,0.10116822804531012,0.0913877144419597,73.33039396478841,10.241693210397251
L22,2025-02-15,2931.9999999988795,0.2160463152385738,0.1720083937351871,0.17187197028907283,0.12562067663886964,0.10475887676995904,80.91919508867464,4.404488403820232
L22,2025-02-16,2968.0000000007567,0.21888144740305734,0.17373452019883404,0.1737465765810902,0.12656244585063173,0.10725073091762782,81.67253369272689,3.9770889487868617
L22,2025-02-17,3225.999999999658,0.22938191053009377,0.1810539838377663,0.18177677877988296,0.1319726135752694,0.11408537276736372,84.8346559206433,2.694135151890785
L22,2025-02-18,3312.0000000008076,0.2345139304226377,0.1847710951971431,0.18631358988237653,0.1353972292488115,0.11608411045006364,86.45506038647235,2.10908212560356
L22,2025-02-19,3490.000000000691,0.23852772924536414,0.18624133057519057,0.18995910783644807,0.13891593945816372,0.11749661517005264,87.11369627507295,1.1520687679081076
L22,2025-02-20,4221.999999999753,0.2527287066136012,0.19222204763709916,0.20425657398493105,0.15291976081208172,0.11937320556308458,89.8162482235911,-1.9864140217906308
L22,2025-02-21,4110.000000000582,0.24383630792499708,0.18678185936891079,0.19715806787611073,0.14786268551357093,0.11407057099054667,87.38462287104231,-0.5935182481754695
L22,2025-02-22,3034.0000000014697,0.2264579918195324,0.1749989822850015,0.18208420042716053,0.13542507524934191,0.10668414358304641,82.28510217534327,1.6777059986812202
L22,2025-02-23,2903.9999999995416,0.2211524293532503,0.17530018258661004,0.17448525284144473,0.1257748926827469,0.11098503886221855,82.3776859504112,3.677617079890042
L22,2025-02-24,2789.9999999999636,0.2068505952094762,0.16862962310694732,0.16268514392236813,0.11673588394879202,0.10365171948399578,79.5011469534072,6.5096344086025875
L22,2025-02-25,2338.0000000006476,0.19554014376353254,0.16348939158832304,0.15224958542929581,0.10691473490319868,0.10038429839834911,77.31471343028004,8.759144568006786
L22,2025-02-26,1946.0000000026412,0.18747005823117968,0.1591403642373306,0.1452700665570125,0.100678093098339,0.09716151889310731,75.53218910584495,10.105405960950156
L22,2025-02-27,1673.9999999981592,0.1811516749201934,0.1564174413595972,0.14090894726154746,0.09737108851537626,0.09220301953809353,74.38011947431733,11.39679808840952
L22,2025-02-28,2583.9999999998327,0.19033399498371006,0.1635035182185315,0.14682313681911863,0.10206323689674068,0.10023268583107621,77.30739938080639,10.59413312693498
L22,2025-03-01,2536.0000000009677,0.18840639197674777,0.16207184999875496,0.14551584090563277,0.10160089480886057,0.09870615836904925,76.71733438485815,10.777744479494666
L22,2025-03-02,2572.0000000001164,0.1965738528986336,0.16384590719343312,0.15360531767965455,0.10944563448128232,0.09983567068727166,77.48438569206773,8.5161430793156
L22,2025-03-03,2629.9999999991996,0.19832401951866885,0.16251527001330845,0.15697051642961835,0.11404349774785029,0.09661253417138602,76.97130038022365,7.437353612169146
L22,2025-03-04,2180.000000000291,0.20869042880399488,0.16886069575273238,0.16505903681786036,0.11857828121312311,0.10273113434023563,79.61722935779765,5.929064220182269
L22,2025-03-05,1745.999999999185,0.20039021528166867,0.1634145666048066,0.1572138844679997,0.1110860881620589,0.10081051812511292,77.34600229094845,7.007972508587765
L22,2025-03-06,1478.0000000000655,0.20500627661670354,0.16860868934698064,0.1598904463648028,0.11115399516441603,0.10559377276036934,79.5304194857948,7.12124492557634
L22,2025-03-07,1282.0000000001528,0.19517072715916794,0.16371186738356278,0.1506103780024627,0.10219655974779122,0.10312702414774506,77.43765990639135,8.947145085803312
L22,2025-03-08,1465.9999999985303,0.18751249739597375,0.1577444260429346,0.14687174926677113,0.10262727000702514,0.09392611510849189,75.01165075034399,9.586712141879122
L22,2025-03-09,1300.0000000010914,0.1938128360259983,0.1619694069303143,0.15189806674394044,0.10562900187062589,0.09727274395049519,76.73556923076931,8.828399999999759
L22,2025-03-10,657.999999999447,0.20653030305199152,0.17199590535260353,0.15964326412941116,0.10908107182113326,0.10952274369311142,80.92832826747852,7.7572036474194626
L22,2025-03-11,1041.9999999994616,0.16911885075932973,0.15390552351272158,0.12754970306290409,0.08163189443005038,0.09372852876371822,73.3310172744751,14.72218809980561
L22,2025-03-12,991.9999999983702,0.16044357806838752,0.1492446135797199,0.11963298624241067,0.07566338845451008,0.09121781056666149,71.43181451613366,16.138548387095852
L22,2025-03-13,278.0000000011569,0.15267190153185656,0.1453701956765076,0.11390333251194872,0.06968419861376952,0.08620490468622309,69.91136690649482,17.496546762588714
L22,2025-03-14,531.9999999992433,0.16955298839480104,0.15330987309854732,0.12736652130887735,0.08114076242297205,0.0950769633794803,73.08578947368598,14.371729323302848
L22,2025-03-15,345.9999999986394,0.16224527393982444,0.14655562914401501,0.12334820158506338,0.07963406250008324,0.08747432036033538,70.41398843930081,14.597225433523016
L22,2025-03-16,1187.9999999991924,0.16105435665499465,0.1451506424730688,0.12285488599450106,0.08055281512970414,0.08589723175876397,69.88518518516479,14.543265993263997
L22,2025-03-17,2073.999999998705,0.19133289787198776,0.16320937481870618,0.14723623641846847,0.10193321398756999,0.10158784628372526,77.18376084860492,10.145843780133648
L22,2025-03-18,2761.9999999997162,0.21870997355616628,0.17507628317885562,0.1722052819397767,0.12384112128607042,0.11023225396585515,82.24795076032453,4.490253439536899
L22,2025-03-19,2708.0000000005384,0.20998072572358265,0.16946984887495736,0.16619679323343764,0.12016916741228992,0.10322769786767066,79.87776957164151,5.682850812406965
L22,2025-03-20,1817.999999998392,0.21431610278347163,0.17294284331211063,0.16957027821215825,0.12115376339521064,0.10593850038932441,81.38563256325895,5.287370737072114
L22,2025-03-21,1582.0000000012442,0.20494652909205022,0.1673826037755569,0.16081668182380188,0.11274880574804245,0.10349912251609215,79.031251580274,6.7213400758543
L22,2025-03-22,1118.000000002212,0.1716319341572135,0.15043316741721166,0.1329708424771296,0.08914916842532684,0.08804442682862501,72.04515205724003,12.638998211097736
L22,2025-03-23,1069.99999999789,0.16826166129358647,0.14988730940669806,0.12960297067970497,0.08615790288774297,0.0874857605095657,71.71641121495819,13.656074766358515
